Time (s)	Frequency Intensity
24.80	5944.79
24.83	6101.00
24.87	6021.02
24.90	5979.60
24.93	6042.07
24.97	6112.91
25.00	6995.14
25.03	6386.51
25.07	6259.66
25.10	6152.53
25.13	6012.07
25.17	5979.03
25.20	6024.68
25.23	5947.62
25.27	5881.77
25.30	6049.65
25.33	6023.98
25.37	5984.30
25.40	6031.16
25.43	6021.52
25.47	6059.61
25.50	5927.49
25.53	6062.45
25.57	6016.78
25.60	5989.36
25.63	6067.80
25.67	6021.98
25.70	6076.59
25.73	5983.49
25.77	6079.21
25.80	6048.00
25.83	6869.76
25.87	6405.58
25.90	6273.55
25.93	6113.29
25.97	6026.17
26.00	6103.81
26.03	5976.73
26.07	5955.63
26.10	6047.10
26.13	6064.18
26.17	5939.45
26.20	5914.40
26.23	5968.80
26.27	5909.39
26.30	5929.80
26.33	5975.89
26.37	5944.41
26.40	5942.63
26.43	5917.75
26.47	5934.48
26.50	5885.00
26.53	5841.44
26.57	5879.72
26.60	5971.21
26.63	5862.54
26.67	6721.35
26.70	6301.06
26.73	6018.39
26.77	5890.28
26.80	5868.35
26.83	5848.67
26.87	5764.13
26.90	5651.03
26.93	5709.69
26.97	5654.41
27.00	5604.81
27.03	5748.05
27.07	5792.13
27.10	5757.72
27.13	5697.45
27.17	5703.58
27.20	5622.26
27.23	5648.14
27.27	5635.36
27.30	5605.88
27.33	5627.81
27.37	5539.53
27.40	5562.63
27.43	5525.00
27.47	5518.03
27.50	6730.81
27.53	6045.44
27.57	5737.47
27.60	5419.69
27.63	5465.67
27.67	5311.90
27.70	5290.55
27.73	5316.90
27.77	5289.73
27.80	5281.94
27.83	5263.46
27.87	5281.83
27.90	5312.88
27.93	5386.06
27.97	5405.07
28.00	5383.13
28.03	5344.49
28.07	5315.27
28.10	5444.88
28.13	5411.03
28.17	5441.92
28.20	5494.47
28.23	5579.26
28.27	5485.58
28.30	5446.01
28.33	6462.79
28.37	5872.86
28.40	5572.24
28.43	5540.49
28.47	5452.77
28.50	5337.48
28.53	5252.36
28.57	5318.28
28.60	5318.63
28.63	5328.99
28.67	5420.93
28.70	5444.20
28.73	5373.69
28.77	5274.00
28.80	5440.77
28.83	5397.66
28.87	5418.35
28.90	5478.06
28.93	5461.37
28.97	5469.61
29.00	5392.60
29.03	5506.38
29.07	5519.64
29.10	5496.85
29.13	5546.65
29.17	6629.91
29.20	6097.65
29.23	5849.02
29.27	5906.10
29.30	5860.57
29.33	5796.28
29.37	5821.80
29.40	5783.46
29.43	5751.75
29.47	5705.87
29.50	5808.43
29.53	5854.62
29.57	5833.87
29.60	5902.38
29.63	5957.63
29.67	5882.81
29.70	5799.75
29.73	5904.84
29.77	5888.98
29.80	5766.15
29.83	5894.16
29.87	5916.65
29.90	5954.57
29.93	5818.52
29.97	5953.67
30.00	6954.30
30.03	6362.79
30.07	6235.29
30.10	6120.76
30.13	6097.68
30.17	5979.29
30.20	6043.80
30.23	6089.53
30.27	5966.41
30.30	6016.07
30.33	6038.37
30.37	6059.38
30.40	6031.56
30.43	6083.35
30.47	6106.55
30.50	6051.36
30.53	6072.62
30.57	6081.75
30.60	6015.30
30.63	5879.94
30.67	5983.99
30.70	5997.87
30.73	5977.49
30.77	6038.42
30.80	6043.05
30.83	6987.75
30.87	6370.11
30.90	6264.82
30.93	6125.58
30.97	6027.16
31.00	6047.81
31.03	6001.48
31.07	6012.08
31.10	5901.01
31.13	5992.75
31.17	5966.54
31.20	5922.02
31.23	5949.30
31.27	5980.96
31.30	5979.51
31.33	5868.72
31.37	5951.07
31.40	5923.14
31.43	5824.71
31.47	5816.69
31.50	5915.65
31.53	5867.17
31.57	5810.94
31.60	5881.85
31.63	5868.95
31.67	6731.19
31.70	6271.14
31.73	6055.99
31.77	5928.88
31.80	5839.51
31.83	5835.08
31.87	5756.11
31.90	5769.84
31.93	5796.46
31.97	5833.45
32.00	5773.69
32.03	5712.92
32.07	5790.95
32.10	5802.29
32.13	5698.22
32.17	5706.23
32.20	5673.49
32.23	5709.88
32.27	5639.46
32.30	5730.28
32.33	5672.04
32.37	5629.50
32.40	5680.33
32.43	5729.95
32.47	5751.25
32.50	6499.19
32.53	6133.83
32.57	5883.56
32.60	5789.47
32.63	5743.12
32.67	5778.83
32.70	5736.60
32.73	5674.78
32.77	5702.93
32.80	5695.92
32.83	5643.35
32.87	5740.00
32.90	5668.61
32.93	5707.92
32.97	5595.30
33.00	5669.99
33.03	5651.21
33.07	5687.92
33.10	5686.81
33.13	5703.89
33.17	5628.35
33.20	5603.85
33.23	5747.29
33.27	5702.97
33.30	5664.60
33.33	6652.19
33.37	6171.23
33.40	5917.89
33.43	5759.14
33.47	5759.13
33.50	5697.93
33.53	5588.41
33.57	5701.80
33.60	5698.83
33.63	5647.15
33.67	5577.28
33.70	5678.08
33.73	5692.06
33.77	5626.81
33.80	5688.81
33.83	5710.94
33.87	5619.61
33.90	5547.74
33.93	5605.94
33.97	5573.07
34.00	5595.49
34.03	5632.60
34.07	5621.38
34.10	5606.00
34.13	5483.05
34.17	6624.31
34.20	6092.78
34.23	5910.40
34.27	5851.13
34.30	5796.89
34.33	5712.74
34.37	5551.43
34.40	5655.97
34.43	5614.86
34.47	5632.78
34.50	5681.84
34.53	5706.09
34.57	5698.60
34.60	5584.39
34.63	5630.21
34.67	5608.98
34.70	5615.39
34.73	5574.87
34.77	5605.22
34.80	5581.36
34.83	5419.30
34.87	5520.22
34.90	5554.24
34.93	5501.81
34.97	5529.66
35.00	6897.72
35.03	6137.52
35.07	5659.42
35.10	5558.52
35.13	5475.84
35.17	5402.88
35.20	5440.53
35.23	5407.69
35.27	5434.05
35.30	5310.31
35.33	5409.63
35.37	5403.70
35.40	5378.02
35.43	5427.79
35.47	5483.39
35.50	5456.54
35.53	5432.93
35.57	5504.20
35.60	5494.40
35.63	5489.83
35.67	5525.71
35.70	5602.39
35.73	5576.39
35.77	5573.02
35.80	5653.12
35.83	6526.56
